Fname,minit,Lname,SSN,phone,sex,Bdate,Nationality
John,A,Smith,1001,123456,M,1975-05-20,American
Maria,B,Garcia,1002,234567,F,1980-09-15,Spanish
Ahmed,M,Al-Farsi,1003,345678,M,1982-12-01,Omani
Liu,H,Wang,1004,456789,F,1990-03-10,Chinese
Giovanni,C,Bianchi,1005,567890,M,1978-07-25,Italian
Sarah,D,Johnson,1006,678901,F,1985-11-18,Canadian
Mikhail,V,Ivanov,1007,789012,M,1972-01-22,Russian
Aisha,J,Khan,1008,890123,F,1993-06-09,Pakistani
David,E,Wilson,1009,901234,M,1988-04-17,British
Natalia,F,Petrova,1010,112233,F,1991-10-30,Ukrainian
