Hotel_ID,Guest_SSN,Rate_stars
1,2000000000001,5
1,2000000000002,4
1,2000000000003,5
2,2000000000004,4
2,2000000000005,3
2,2000000000006,4
3,2000000000007,5
3,2000000000008,4
3,2000000000009,5
4,2000000000010,5
4,2000000000011,3
4,2000000000012,4
5,2000000000013,5
5,2000000000014,4
5,2000000000015,4
6,2000000000016,3
6,2000000000017,5
6,2000000000018,4
7,2000000000019,4
7,2000000000020,5
7,2000000000021,4
8,2000000000022,5
8,2000000000023,3
8,2000000000024,4
9,2000000000025,5
9,2000000000026,5
9,2000000000027,4
10,2000000000028,5
10,2000000000029,4
10,2000000000030,3
